user_id,date,locations_id,age,gender
1661,06/03/20,1,15,Male
676,02/13/20,13,15,Male
336,01/06/20,2,15,Male
8232,05/31/22,11,15,Male
2794,10/01/20,2,15,Male
3697,12/23/20,8,15,Male
5411,06/11/21,10,15,Male
8846,10/02/22,10,15,Male
8229,05/31/22,7,15,Male
6364,09/30/21,9,15,Male
7435,02/02/22,10,15,Male
517,02/02/20,12,15,Male
5814,07/28/21,1,15,Male
7959,04/12/22,5,15,Male
2932,10/06/20,7,15,Male
8961,11/04/22,13,15,Male
5495,06/18/21,8,15,Male
4745,04/05/21,8,15,Male
8431,07/01/22,11,15,Male
7769,03/13/22,11,15,Male
2327,08/07/20,3,15,Male
7382,01/20/22,3,15,Male
6133,09/02/21,4,15,Male
7915,04/07/22,9,15,Male
7709,03/06/22,10,15,Male
1571,05/22/20,12,15,Male
3981,01/19/21,6,15,Male
3716,12/30/20,8,15,Male
1101,04/04/20,5,15,Male
4991,05/01/21,9,15,Male
5594,07/04/21,9,15,Male
5846,07/31/21,3,15,Male
8763,09/09/22,3,15,Male
8410,06/30/22,6,15,Male
6757,11/06/21,8,15,Male
6732,11/04/21,10,15,Male
351,01/07/20,10,15,Male
7866,04/03/22,5,15,Male
5431,06/13/21,2,15,Male
2924,10/05/20,8,15,Male
7442,02/02/22,9,15,Male
7907,04/05/22,10,15,Male
6839,11/12/21,4,15,Male
2771,09/23/20,7,15,Male
285,01/03/20,9,15,Male
6021,08/12/21,12,15,Male
2073,07/10/20,6,15,Male
7312,01/07/22,10,15,Male
4139,02/05/21,1,15,Male
7712,03/05/22,3,15,Male
8636,08/12/22,10,15,Male
7308,01/07/22,12,15,Male
7530,02/08/22,5,15,Male
891,03/07/20,6,15,Male
8948,11/03/22,10,15,Male
9088,12/04/22,6,15,Male
7591,02/13/22,8,15,Male
690,02/14/20,6,15,Male
2795,10/01/20,8,15,Male
6244,09/06/21,8,15,Male
7372,01/18/22,10,15,Male
2515,09/02/20,7,15,Male
7952,04/10/22,13,15,Male
4032,02/01/21,4,15,Male
3538,12/06/20,10,15,Male
73,12/03/19,12,15,Male
572,02/03/20,12,15,Male
2638,09/08/20,13,15,Male
6455,10/02/21,8,15,Male
5722,07/09/21,1,15,Male
7882,04/03/22,3,15,Male
9119,12/11/22,3,15,Male
5050,05/05/21,10,15,Male
455,01/26/20,4,15,Male
4015,01/28/21,4,15,Male
1617,05/31/20,8,15,Male
2137,07/20/20,10,15,Male
343,01/07/20,12,15,Male
1698,06/05/20,9,15,Male
231,12/31/19,13,15,Male
8735,09/06/22,4,15,Male
4937,04/30/21,5,15,Male
5219,05/29/21,11,15,Male
7149,12/19/21,11,15,Male
5687,07/08/21,2,15,Male
6521,10/07/21,3,15,Male
7077,12/09/21,7,15,Male
3964,01/16/21,9,15,Male
3199,11/05/20,1,15,Male
6301,09/12/21,1,15,Male
9017,11/12/22,3,15,Male
3789,01/02/21,1,15,Female
7420,01/31/22,9,15,Female
90,12/05/19,10,15,Female
3040,10/19/20,10,15,Female
8165,05/11/22,13,15,Female
4161,02/07/21,1,15,Female
2566,09/03/20,7,15,Female
349,01/07/20,9,15,Female
5463,06/14/21,11,15,Female
9012,11/13/22,3,15,Female
2121,07/18/20,5,15,Female
986,03/20/20,8,15,Female
2511,09/02/20,10,15,Female
1948,07/03/20,11,15,Female
1153,04/04/20,4,15,Female
6307,09/13/21,4,15,Female
5051,05/06/21,9,15,Female
2347,08/08/20,10,15,Female
6473,10/04/21,10,15,Female
240,01/01/20,13,15,Female
8075,05/03/22,12,15,Female
7062,12/08/21,3,15,Female
874,03/06/20,10,15,Female
1211,04/10/20,10,15,Female
8071,05/02/22,10,15,Female
16,11/30/19,13,15,Female
1933,07/03/20,13,15,Female
6383,10/01/21,2,15,Female
8433,07/01/22,4,15,Female
1785,06/10/20,6,15,Female
8298,06/04/22,7,15,Female
7651,03/01/22,10,15,Female
9145,12/20/22,10,15,Female
5012,05/03/21,13,15,Female
6183,09/03/21,4,15,Female
4257,02/12/21,8,15,Female
71,12/03/19,10,15,Female
2445,08/22/20,10,15,Female
7816,03/28/22,10,15,Female
7335,01/10/22,13,15,Female
7199,12/31/21,5,15,Female
6827,11/11/21,7,15,Female
3495,12/06/20,8,15,Female
4896,04/19/21,10,15,Female
7353,01/14/22,2,15,Female
5380,06/07/21,8,15,Female
8609,08/05/22,8,15,Female
7772,03/13/22,13,15,Female
3242,11/08/20,7,15,Female
8043,04/30/22,8,15,Female
9104,12/09/22,10,15,Female
1348,05/02/20,11,15,Female
8062,05/01/22,11,15,Female
5376,06/06/21,12,15,Female
1846,06/20/20,13,15,Female
7397,01/23/22,4,15,Female
5215,05/26/21,13,15,Female
5252,06/02/21,13,15,Female
8254,06/02/22,4,15,Female
3884,01/10/21,10,15,Female
4195,02/08/21,12,15,Female
2630,09/07/20,13,15,Female
8138,05/09/22,1,15,Female
478,01/31/20,4,15,Female
6181,09/04/21,8,15,Female
7664,03/02/22,12,15,Female
3943,01/14/21,2,15,Female
8107,05/06/22,2,15,Female
5897,08/02/21,8,15,Female
6278,09/10/21,9,15,Female
53,12/02/19,10,15,Female
1269,04/14/20,3,15,Female
6883,11/16/21,13,15,Female
700,02/17/20,3,15,Female
2303,08/06/20,12,15,Female
646,02/09/20,13,15,Female
3307,11/14/20,4,15,Female
4775,04/06/21,4,15,Female
7718,03/07/22,5,15,Female
6095,08/28/21,7,15,Female
6549,10/10/21,9,15,Female
8452,07/03/22,9,15,Female
2221,08/01/20,13,15,Female
3930,01/13/21,13,15,Female
168,12/13/19,3,15,Female
5069,05/07/21,4,15,Female
7386,01/20/22,4,15,Female
3933,01/15/21,11,15,Female
7433,02/01/22,12,15,Female
194,12/18/19,3,15,Female
5499,06/18/21,3,15,Female
2266,08/02/20,4,15,Female
3406,12/01/20,6,15,Female
5468,06/15/21,6,15,Female
6294,09/11/21,7,15,Female
4807,04/10/21,9,15,Female
6657,10/30/21,11,15,Female
3427,12/02/20,2,15,Female
8485,07/08/22,2,15,Female
9078,12/03/22,9,15,Female
1981,07/03/20,11,15,Female
7517,02/08/22,12,15,Female
3935,01/14/21,2,15,Female
3064,10/25/20,9,15,Female
8788,09/17/22,10,15,Female
4765,04/05/21,13,15,Female
274,01/03/20,1,15,Female
7936,04/09/22,1,15,Female
1975,07/04/20,5,15,Female
131,12/07/19,8,15,Female
1745,06/06/20,8,15,Female
2424,08/19/20,9,15,Female
3899,01/09/21,6,15,Female
6174,09/03/21,7,15,Female
399,01/12/20,8,15,Female
6425,10/02/21,11,15,Female
8767,09/10/22,11,15,Female
7501,02/05/22,1,15,Female
6490,10/05/21,2,15,Female
760,02/29/20,3,15,Female
4267,02/14/21,8,15,Female
4521,03/13/21,8,15,Female
6475,10/04/21,9,15,Female
850,03/04/20,11,15,Female
2851,10/03/20,1,15,Female
6798,11/07/21,1,15,Female
5130,05/11/21,1,15,Female
8976,11/06/22,1,15,Female
333,01/06/20,5,15,Female
563,02/02/20,8,15,Female
1014,03/27/20,9,15,Female
1706,06/05/20,9,15,Female
6860,11/14/21,9,15,Female
2036,07/09/20,10,15,Female
