transactions_id,transaction_items_id,product_qty,product_amount,product_price,product_id
63,185,4,800000,200000,14
198,602,4,800000,200000,14
1554,5066,4,800000,200000,14
1720,5607,4,800000,200000,14
4632,15048,4,800000,200000,14
5392,17539,4,800000,200000,14
5513,17996,4,800000,200000,14
6009,19623,4,800000,200000,14
7229,23718,4,800000,200000,14
7419,24322,4,800000,200000,14
7844,25732,4,800000,200000,14
8272,27120,4,800000,200000,14
8657,28371,4,800000,200000,14
8834,28917,4,800000,200000,14
9714,31518,4,800000,200000,14
9736,31578,4,800000,200000,14
9912,32109,4,800000,200000,14
10138,32796,4,800000,200000,14
10810,34829,4,800000,200000,14
10907,35119,4,800000,200000,14
11188,35995,4,800000,200000,14
11347,36467,4,800000,200000,14
11476,36829,4,800000,200000,14
11794,37799,4,800000,200000,14
12326,39431,4,800000,200000,14
12680,40529,4,800000,200000,14
12870,41084,4,800000,200000,14
13678,43490,4,800000,200000,14
14784,46660,4,800000,200000,14
14913,47013,4,800000,200000,14
15045,47366,4,800000,200000,14
15555,48877,4,800000,200000,14
15821,49658,4,800000,200000,14
16146,50686,4,800000,200000,14
16796,52645,4,800000,200000,14
18207,56713,4,800000,200000,14
18551,57729,4,800000,200000,14
638,2004,4,800000,200000,28
5800,18939,4,800000,200000,28
5856,19124,4,800000,200000,28
5886,19215,4,800000,200000,28
5907,19279,4,800000,200000,28
6206,20293,4,800000,200000,28
6425,21022,4,800000,200000,28
6465,21163,4,800000,200000,28
6471,21183,4,800000,200000,28
6724,22031,4,800000,200000,28
6821,22354,4,800000,200000,28
6838,22410,4,800000,200000,28
6960,22815,4,800000,200000,28
6998,22933,4,800000,200000,28
7022,23016,4,800000,200000,28
7086,23230,4,800000,200000,28
7163,23500,4,800000,200000,28
9478,30823,4,800000,200000,28
12237,39170,4,800000,200000,28
13604,43280,4,800000,200000,28
13679,43491,4,800000,200000,28
13693,43520,4,800000,200000,28
13707,43554,4,800000,200000,28
13803,43825,4,800000,200000,28
14068,44634,4,800000,200000,28
14151,44863,4,800000,200000,28
14338,45409,4,800000,200000,28
14359,45466,4,800000,200000,28
14384,45536,4,800000,200000,28
14480,45783,4,800000,200000,28
14481,45787,4,800000,200000,28
14529,45940,4,800000,200000,28
14573,46063,4,800000,200000,28
14851,46850,4,800000,200000,28
14903,46985,4,800000,200000,28
14945,47093,4,800000,200000,28
14966,47154,4,800000,200000,28
15100,47524,4,800000,200000,28
15129,47614,4,800000,200000,28
15216,47861,4,800000,200000,28
15236,47921,4,800000,200000,28
15340,48224,4,800000,200000,28
149,453,2,800000,400000,41
1146,3720,2,800000,400000,41
1523,4966,2,800000,400000,41
1637,5329,2,800000,400000,41
3054,9940,2,800000,400000,41
3466,11232,2,800000,400000,41
3946,12784,2,800000,400000,41
4019,13005,2,800000,400000,41
4730,15344,2,800000,400000,41
5189,16868,2,800000,400000,41
5344,17385,2,800000,400000,41
6244,20427,2,800000,400000,41
6380,20867,2,800000,400000,41
6399,20927,2,800000,400000,41
7618,24988,2,800000,400000,41
8053,26407,2,800000,400000,41
8173,26789,2,800000,400000,41
8537,28002,2,800000,400000,41
8770,28729,2,800000,400000,41
9085,29661,2,800000,400000,41
9624,31228,2,800000,400000,41
9785,31729,2,800000,400000,41
9954,32229,2,800000,400000,41
10002,32380,2,800000,400000,41
10028,32452,2,800000,400000,41
10673,34435,2,800000,400000,41
10797,34786,2,800000,400000,41
11131,35813,2,800000,400000,41
11827,37888,2,800000,400000,41
12364,39555,2,800000,400000,41
12614,40315,2,800000,400000,41
13197,42090,2,800000,400000,41
13279,42339,2,800000,400000,41
13290,42371,2,800000,400000,41
13564,43168,2,800000,400000,41
13672,43473,2,800000,400000,41
14125,44777,2,800000,400000,41
15876,49822,2,800000,400000,41
4,9,1,800000,800000,52
6,19,1,800000,800000,52
21,63,1,800000,800000,52
46,140,1,800000,800000,52
52,157,1,800000,800000,52
89,269,1,800000,800000,52
